Shop_Name,Location,TotalGoodsNo,TotalSales,Main_Business
"
          甜柠檬文具百货精品店
        ",浙江 金华,1148,135040,手帐 手账 贴纸 和纸胶带 星球 号 32 创意 装饰 整卷 日记 复古 信的恋人 文具 素材 贴画 可爱 水彩 相册 烫金 文艺 拼贴 陌墨 人物 本子 小清新 包邮 韩国 古风 植物 笔记本 彩色 明信片 手帐本 diy 沐染 贴 DIY 简约 边框 便利贴 印章 N次贴 和纸 留言 卡通 风 油墨 特殊 可撕 日本 x 小 的 贺卡 旅行 备忘 诗 学生 猫咪 原创 infeel.me 记事 便签本 套装 天空岛 透明 系 清新 唯美 信封 张 女孩 生活 盐 少女 英文 糖 礼物 手绘 樱花 基础 中国风 胶带 FOR kinbor 日式 贴纸包 个性 动物 木质 NOTE 北欧 日程 异形 建筑 日记本 文字 本 男女 盒装 信纸 之 笔 书签 空白 星空 计划 卡片 收纳 ENO 手账本 境 陌 便签 钢笔 枚 30 黑白 随身 中性笔 花朵 便签纸 ins 少女心 无痕 可 防水 牛皮纸 金属 横线 刺绣 子 食物 记事本 衣服 便签条 宇宙 手工 笔袋 - 系列 色 梦幻 方格 mm 情书 字母 水笔 入 手 和风 仓敷 福利 你 纯色 哥特 童话 磨砂 书法 风景 6 夹子 物 做旧 0.5 补丁 潮 内芯 金色 日系 朕 特惠 票据 数字 一 纸 胶纸 自然 爱情 浪漫 索引 便携 星星 办公 邮戳 世界 10cm 有 日付 印 A5A6 内页 ！ 毛笔 签字笔 5 星辰 梵高 日历
32号星球 温暖文具店,浙江 金华,1132,102936,手帐 复古 就 爱 素材 贴纸 zakka 装饰 手账 印章 和纸胶带 拼贴 贴画 胶带 日记 张 相册 信的恋人 款 和纸 陌墨 活页本 文艺 系列 透明 小 便签本 A5A6 入 DIY 彩色 活页 便利贴 烫金 手帐本 盒装 纸 留言 记事 内页 N次贴 本子 30 明信片 的 旅行 笔记本 创意 木质 旅行者 学生 打底 牛皮纸 标准 套装 B5 索引 替芯 硅胶 卡片 记事本 孔 系 ZAKKA 枚 包邮 基础 收纳 数字 诗 方格 植物 日记本 英文 原创 风 字母 火漆 盐 diy mm 随身 简约 便携 生活 夹子 6 文具 日期 页 少女 手绘 人物 笔 贴纸包 色 边框 空白 日本 清新 计划 日式 塑料 内芯 纯色 TN PVC 5 本 陌 PP 金属 可撕 便签 替换 封口贴 尺子 信封 糖 壳 韩国 水彩 中性笔 横线 45 可 日常 整卷 之 配套 小清新 cm 橡皮章 周计划 垫板 标签 日付 时间 定页 手撕 纸质 可爱 打字机 卡通 清仓 规划 8 物 宽 护照 票据 分隔页 计划本 森系 贴 印泥 光敏 古风 摆 世界 10cm 木头 拍 4 礼物 橡胶 包 * 1 】 3 选 剪刀 水笔 便条纸 收纳袋 黑白 办公 花边 大 书写 【 - 12 日系 黑色 学习 手工 杂志 芯 磨砂 便签纸 北欧 涂鸦 油墨 特殊 工具 直尺 信纸 几何
"
          就爱ZAKKA[文具手帐]
        ",浙江 温州,625,102821,创意 文具 韩国 学生 可爱 安安家 小清新 简约 卡通 安蔻 办公 笔记本 中性笔 学生用 A 便携 彩色 迷你 手帐 0.5 本子 mm 记事本 透明 手账 水笔 签字笔 日本 笔袋 小 便利贴 贴纸 大容量 得力 子 装饰 黑色 晨光 日记本 多功能 套装 N次贴 用品 桌面 和纸胶带 铅笔 本 女 用 笔 diy 随身 小学生 加厚 试卷 胶带 手帐本 记事 文件夹 手账本 按动 收纳袋 DIY 时尚 收纳盒 文具盒 女生 日记 B5 宿舍 可撕 便签 清新 考试 文件袋 铅笔袋 糖果色 日式 荧光笔 书签 帆布 韩版 收纳 塑料 铅笔盒 留言 水性笔 儿童 折叠 相册 自动 批发 贴 大学生 笔筒 笔芯 记事贴 资料袋 重点 造型 动物 家用 日程 计划本 多层 记号笔 素材 手工 金属 防水 便签本 文具袋 整卷 个性 修正带 风扇 男女 整理盒 夹 纯色 书写 大号 钢笔 活页 少女心 替芯 可 A4 小号 复古 英语 日系 错题 标记笔 办公室 索引 夏季 资料 0.7 优品 夹子 线圈本 盒装 全针管 资料册 空白 0.38 彩页 活页本 走珠笔 学习 水彩 磨砂 涂改带 日韩 静音 礼物 日 12 工具 线圈 练字 初中生 文件 古风 档案 直液式 纸 标记 旅行 进口 n次贴 固体 装 标签贴 便携式 水彩笔 双头 橡皮 绘画 拉链 书本 书立 课本 水杯 圆珠笔 情侣 日程本 车线 cm 水果 黑 备忘 杯子 烫金 扇子 书 勾线笔 三角 插画
"
          安安家文具研习社
        ",江苏 苏州,541,129112,古风 中国风 古典 复古 文具 文化礼品 饰品                                                                                                                                                                                                                                                        
"
          长诗 暖心杂货铺
        ",重庆,587,96429,学生 文具 创意 可爱 包邮 韩国 得力 办公 笔记本 儿童 小清新 彩色 本 卡通 批发 小学生 简约 本子 中性笔 手帐 套装 0.5 钢笔 小 透明 mm 记事本 加厚 支 铅笔 贴纸 手账 水笔 真彩 金属 复古 用品 笔 日记本 装 12 学生用 特价 胶带 笔芯 DIY 记事 考试 4 装饰 多功能 张 迷你 手工 绘画 黑色 书签 用 日记 空白 爱好 色 和纸胶带 笔袋 幼儿园 6 学习 子 diy 清新 记号笔 大号 桌面 手绘 自动 塑料 签字笔 便携 大容量 书法 可擦 练字 5 30 绘图 修正带 尺子 按动 活页 随身 贴 手账本 计划本 涂鸦 牛皮纸 涂改带 B5 彩页 便利贴 线圈本 2 36色 韩版 盒装 相册 水彩笔 页 系列 橡皮 枚 个装 中性 书写 便签本 个 可 磨砂 替芯 厚 可撕 橡皮擦 3 安全 财务 剪刀 美工 试卷 cm 手帐本 墨水 米 N次贴 玩具 唯美 卡片 文件 糖果色 帆布 小号 支装 - 线圈 礼物 荧光笔 A4 成人 数学 直尺 英语 HB 强力 蜡笔 个性 画笔 收纳 0.38 0.7 纸 夹子 8 24色 铅笔盒 留言 活页本 猫咪 天 卷笔刀 美工刀 文艺 垫板 硬笔 镂空 改正带 油画棒 大 圆规 日式 夹 笔记 刀片 】 不锈钢 插画 白雪 好用 日程本 字帖 古风 2B 铅芯 削笔器 b5 墨囊 作业本 黑 胶水 全针管 【 100 网格
"
          得力文具阳光店
        ",湖北 武汉,798,99312,儿童 创意 文具 学生 可爱 玩具 小学生 卡通 小 批发 韩国 用品 学习 幼儿园 礼物 益智 小清新 迷你 奖品 宝宝 彩色 本 铅笔 套装 笔记本 手工 本子 礼品 简约 办公 韩版 中性笔 - 奖励 便携 贴纸 女孩 记事本 绘画 黑色 橡皮擦 成人 木质 DIY 的 随身 造型 笔袋 日记本 多功能 透明 塑料 卡 大容量 男 早教 6 水笔 加厚 亲子 张 生日 笔 地摊 怀旧 安全 Q 立体 mm 0.5 大号 卷笔刀 diy 阅读 尺子 动物 贴 游戏 清新 用 签字笔 橡皮 学生用 削笔器 桌面 3 男孩 得力 糖果色 便利贴 圆珠笔 发光 节日 岁 盒装 拼图 特别 制作 自动 书签 铅笔盒 积木 经典 中小学生 收纳袋 智力 文具盒 读书 模型 幼儿 空白 12 画 减压 文具袋 书皮 女 数学 表情 文件袋 面具 送 记录本 魔方 整蛊 货源 涂色 男女 教具 笔芯 记事 防水 记 卡片 红 陀螺 跳绳 个性 便签本 0.38 绘图 学生网 作业 教师 男生女生 活动 涂鸦 解压 装饰 直尺 可撕 环保 手绘 N次贴 转笔刀 拼装 摘 80后 夏季 迷宫 神器 户外 记号笔 铅笔袋 开学季 时尚 表扬 夜市 写字 贴画 鼓励 牛皮纸 金属 日记 铅笔刀 存折 印章 涂改带 女生 带 手机 一 笔记 水性笔 荧光笔 色 车线 扇子 美术 水果 按动 木制 磁性 奖状 小孩 作业本 修正带 运动 互动 婴儿
希睿文具精品店 10元包邮 学生文具儿童礼物,浙江 金华,883,142841,创意 可爱 学生 韩国 小清新 简约 卡通 文具 缤纷 屋 家用 小 塑料 便携 女 迷你 厨房 桌面 夏季 加厚 透明 学生用 收纳盒 收纳 儿童 办公 防水 手账 旅行 笔记本 贴纸 防滑 大号 大容量 用品 装饰 本子 中性笔 韩版 多功能 彩色 成人 黑色 笔袋 记事本 扇子 宿舍 挂钩 浴室 折叠 套装 收纳袋 贴 签字笔 随身 衣服 mm 小号 不锈钢 0.5 复古 手提 男 包邮 女士 杂物 卫生间 工具 衣架 男女 硅胶 手机 袜子 帆布 清洁 情侣 衣柜 小学生 清新 日记 文件袋 双层 无痕 强力 子 日记本 日式 办公室 便利贴 水笔 化妆品 学习 发绳 大 DIY 夹子 便携式 记事 头饰 隐形 笔 可 拖鞋 薄款 内衣 胶带 手账本 降温 布艺 晨光 铅笔盒 文件夹 门后 洗澡 用 整理盒 美甲 发圈 杯子 本 发饰 带盖 金属 的 卧室 神器 卡套 风扇 棉麻 短袜 折扇 透气 饰品 中国风 女生 客厅 多层 船袜 个性 便签本 N次贴 浅口 餐具 置物架 汽车 免打孔 居家 和纸胶带 文具袋 玩具 礼物 衣物 宝宝 室内 可撕 粘钩 便签纸 古典 冰袋 资料袋 架子 通用 铅笔袋 头绳 百搭 支架 坐垫 吸水 去污 练字 纯色 手工 袋子 刷 磨砂 钢笔 饭盒袋 带 收纳包 壁挂 手绘 diy 镂空 整理 防风 棉 静音 收纳箱 相册 圆形 USB 素色 洗漱 空白 两用 盒子 长柄 试卷 时尚 保护套
"
          缤纷屋 创意家居生活馆
        ",上海,1075,119264,纵向书写 手帐 钢笔 彩墨 进口文具 百乐P500考试笔 斑马荧光笔 国誉淡彩曲奇活页夹 三菱中性笔
"
          纵向书写
        ",上海,1428,46243,橡皮章 手帐 DIY 和纸胶带 装饰 系列 雕刻 手工 模具 手账 相册 * 材料 印台 橡皮砖 贴纸 复古 日本 剪贴 滴胶 胶带 饰品 - 印章 日记 热缩片 硅胶 用 cm 纸 橡皮 手绘 工具 diy 水晶滴胶 原创 印泥 彩色 夹心 卡纸 进口 5 艺 创意 透明 小 古风 卡 空白 莲花 包装 贺卡 手作 整卷 素材 明信片 月猫 信的恋人 卡片 吊坠 陌墨 色 模型 配件 0.8 礼物 拼贴 片 款 干花 打磨 便利贴 制作 套装 日记本 图纸 水彩 木质 镜面 可揭 书签 】 【 染 文具 印 N次贴 暮光之城 包邮 雕刻刀 入 笔刀 Tsukineko 钢笔 枚 的 诗 烫金 mm 可爱 g 出口 多用 边框 信封 人物 异形 粘土 吴竹 3 清新 2 笔 1 记事 糖 可撕 圆形 切割 金属 涂抹 免 基础 墨水 纸雕 装饰贴 填充 图章 刀片 留言 ） 中国风 宝石 垫板 （ 手帐本 贴画 水晶 铅笔 唯美 少女 皮革 三层 6 收纳盒 笔记本 专用 刀 礼品 牛皮 植物 挂件 树脂 用品 宽 颜料 手撕 文艺 正方形 迷你 不 激光 旅行 陌 白色 补充液 花 建筑 角 小清新 风 换 双面 圣诞 打印 渐变 果冻 封口贴 贴 细节 材料包 Ranger 器 凸粉 黑白   发 立体 可 加厚 高端 ZIG UV 镂空 章 双层 无痕 单张 30 10cm
"
          莲花手作橡皮章文化美术用品店
        ",浙江 绍兴,1165,45004,晨光 办公 学生 包邮 文具 儿童 小学生 MM 用品 可爱 0.5 黑色 中性笔 批发 卡通 套装 创意 商务 彩色 大号 学生用 水笔 用 齐心 签字笔 笔记本 小清新 钢笔 铅笔 透明 简约 本 财务 加厚 本子 金属 考试 笔芯 盒 1 定制 小号 多功能 大容量 练字 成人 A4 专用 笔 文件袋 西玛 按动 会计 中性 记事本 收纳 手工 用友 替芯 全针管 空白 12 蓝色 文件夹 小 毕加索 支 0.38 胶带 可 红色 男士 自动 塑料 韩国 记账凭证 书写 时尚 2 高档 字 手提 笔袋 5 幼儿园 桌面 书法 会议 橡皮擦 资料袋 迪士尼 凭证 B5 礼盒 强力 子 胶水 - 12色 墨水 迷你 个 便利贴 防水 6 米菲 家用 a4 孔庙 祈福 金隆兴 圆珠笔 mm 墨水笔 3 白板 书 画笔 毛笔 24色 计算器 盒装 初学者 0.7 4 夹 剪刀 蓝 水性笔 分类 美术 优品 绘图 女 公文包 单据 双面 试卷 纸 钉 LOGO 刻字 票据 文具盒 张 铱金笔 CM 资料夹 红 极细 颜料 办公室 厘米 帆布 资料 孔 尺子 签名 笔筒 可擦 线圈本 贴 红杰 红蓝 快干 水笔芯 8 牛皮纸 碳素 油笔 24 3M 免费 绘画 2B 多层 订书机 晨光米菲 记号笔 通用 36色 原子笔 米奇 复古 手绘 板夹 蓝黑 支装 大 安全 礼品 资料架 垫板 男 胶纸 号 晶蓝 色 墨蓝 男女
