Province,City,Number,Lng,Lat
湖南省,Xiangtan,228,112.935556,27.835095
辽宁省,Hulu Island,59,120.860758,40.74303
山东省,Jining,274,116.600798,35.402122
广东省,Dong'guan,674,113.763434,23.043024
福建省,Xiamen,1947,118.103886,24.489231
河北省,Weifang,168,116.703602,39.518611
辽宁省,Anshan,138,123.007763,41.118744
浙江省,Jiaxing,526,120.760428,30.773992
江苏省,Zhenjiang,309,119.455835,32.204409
浙江省,Shaoxing,506,120.592467,30.002365
山东省,Weifang,358,119.142634,36.716115
四川省,Neijiang,61,105.073056,29.599462
山西省,Jinzhong,126,112.738514,37.693362
吉林省,Changchun,1150,125.313642,43.898338
河南省,Kaifeng,165,114.351642,34.801854
安徽省,Fuyang,140,115.820932,32.901211
云南省,Lijiang,67,100.229628,26.875351
江西省,Nanchang,1254,115.893528,28.689578
陕西省,Hanzhong,87,107.045478,33.081569
内蒙古自治区,E'erduosi,87,109.993706,39.81649
福建省,Fuzhou,1689,119.330221,26.047125
陕西省,Baoji,112,107.170645,34.364081
江西省,Fuzhou,66,116.360919,27.954545
甘肃省,Wuwei,17,102.640147,37.933172
河南省,Xuchang,93,113.835312,34.02674
黑龙江省,Heihe,44,127.50083,50.250689
河北省,Tangshan,253,118.183451,39.650531
山东省,Laiwu,63,117.684667,36.233654
江西省,Yichun,119,114.400039,27.81113
浙江省,Ningbo,1578,121.579006,29.885259
广东省,Jieyang,150,116.379501,23.547999
山西省,Datong,120,113.290509,40.113744
澳门,Macau,360,113.557519,22.204118
江苏省,Xuzhou,552,117.188107,34.271553
山西省,Changzhi,105,113.120292,36.201664
广西壮族自治区,Wuzhou,61,111.305472,23.485395
宁夏回族自治区,Yinchuan,242,106.206479,38.502621
广东省,Shenjiang,207,110.365067,21.257463
湖北省,Miao Autonomous Region,61,109.517433,30.308979
内蒙古自治区,Huhehaote,428,111.660351,40.828319
江西省,Shangrao,142,117.955464,28.457623
江西省,Ganzhou,290,114.935909,25.845296
浙江省,Lishui,142,119.929576,28.4563
四川省,Yibin,68,104.633019,28.769675
安徽省,Weibei,65,116.791447,33.960023
安徽省,Ma'an,152,118.515882,31.688528
云南省,Bai Autonomous Region,193,100.219209,25.693967
湖南省,Miao Autonomous Region,47,109.745746,28.317951
河南省,Zhumadian,66,114.049154,32.983158
